DEBUG:root:2.945259N, 101.875331E
DEBUG:root:2.945226N, 101.875311E
DEBUG:root:2.945215N, 101.8753E
DEBUG:root:2.945213N, 101.875286E
DEBUG:root:2.94521N, 101.875273E
DEBUG:root:2.945206N, 101.875259E
DEBUG:root:2.945203N, 101.875246E
DEBUG:root:2.9452N, 101.875233E
DEBUG:root:2.945196N, 101.8752E
DEBUG:root:2.945192N, 101.875186E
DEBUG:root:2.945188N, 101.875177E
DEBUG:root:2.94519N, 101.875171E
DEBUG:root:2.945194N, 101.875167E
DEBUG:root:2.945198N, 101.875161E
DEBUG:root:2.9452N, 101.875155E
DEBUG:root:2.9452N, 101.875147E
DEBUG:root:2.945203N, 101.875135E
DEBUG:root:2.945208N, 101.875123E
DEBUG:root:2.945215N, 101.875111E
DEBUG:root:2.945222N, 101.875098E
DEBUG:root:2.945231N, 101.875085E
DEBUG:root:2.945238N, 101.875073E
DEBUG:root:2.945248N, 101.875058E
DEBUG:root:2.945253N, 101.875047E
DEBUG:root:2.945259N, 101.875039E
DEBUG:root:2.945264N, 101.875032E
DEBUG:root:2.945269N, 101.875026E
DEBUG:root:2.945275N, 101.87502E
DEBUG:root:2.945281N, 101.875007E
DEBUG:root:2.945292N, 101.874973E
DEBUG:root:2.945297N, 101.874957E
DEBUG:root:2.945303N, 101.874942E
DEBUG:root:2.945313N, 101.874927E
DEBUG:root:2.945319N, 101.87492E
DEBUG:root:2.945325N, 101.874918E
DEBUG:root:2.945332N, 101.874917E
DEBUG:root:2.945348N, 101.874927E
DEBUG:root:2.945359N, 101.874938E
DEBUG:root:2.945371N, 101.874955E
DEBUG:root:2.945382N, 101.874975E
DEBUG:root:2.945394N, 101.875E
DEBUG:root:2.945405N, 101.875026E
DEBUG:root:2.945415N, 101.875064E
DEBUG:root:2.945435N, 101.875129E
DEBUG:root:2.945455N, 101.875144E
DEBUG:root:2.945487N, 101.875155E
DEBUG:root:2.945509N, 101.875139E
DEBUG:root:2.945603N, 101.874921E
DEBUG:root:2.945618N, 101.874893E
DEBUG:root:2.945645N, 101.874871E
DEBUG:root:2.945869N, 101.874565E
DEBUG:root:2.945926N, 101.874542E
DEBUG:root:2.945927N, 101.874565E
DEBUG:root:2.945891N, 101.874606E
DEBUG:root:2.94589N, 101.874566E
DEBUG:root:2.945875N, 101.874581E
DEBUG:root:2.945899N, 101.874549E
DEBUG:root:2.945879N, 101.87454E
DEBUG:root:2.945873N, 101.874542E
DEBUG:root:2.945875N, 101.874544E
DEBUG:root:2.945853N, 101.87456E
DEBUG:root:2.945854N, 101.874558E
DEBUG:root:2.945858N, 101.874555E
DEBUG:root:2.945856N, 101.874553E
DEBUG:root:2.945846N, 101.874553E
DEBUG:root:2.945846N, 101.87455E
DEBUG:root:2.945848N, 101.874547E
DEBUG:root:2.945851N, 101.874546E
DEBUG:root:2.945853N, 101.874545E
DEBUG:root:2.945855N, 101.874543E
DEBUG:root:2.945852N, 101.874541E
DEBUG:root:2.945851N, 101.874539E
DEBUG:root:2.945851N, 101.874546E
DEBUG:root:2.94585N, 101.874558E
DEBUG:root:2.945847N, 101.874568E
DEBUG:root:2.945844N, 101.874574E
DEBUG:root:2.945844N, 101.874579E
DEBUG:root:2.945845N, 101.874583E
DEBUG:root:2.945857N, 101.874591E
DEBUG:root:2.945865N, 101.87459E
DEBUG:root:2.945875N, 101.874582E
DEBUG:root:2.945884N, 101.874574E
DEBUG:root:2.945899N, 101.874564E
DEBUG:root:2.945918N, 101.874554E
DEBUG:root:2.945925N, 101.874552E
DEBUG:root:2.945923N, 101.87457E
DEBUG:root:2.945923N, 101.874589E
DEBUG:root:2.945927N, 101.874605E
DEBUG:root:2.945934N, 101.874622E
DEBUG:root:2.945943N, 101.874644E
DEBUG:root:2.945953N, 101.874677E
DEBUG:root:2.945961N, 101.874719E
DEBUG:root:2.945976N, 101.874781E
DEBUG:root:2.945986N, 101.874804E
DEBUG:root:2.945999N, 101.874833E
DEBUG:root:2.946012N, 101.87485E
DEBUG:root:2.946022N, 101.874859E
DEBUG:root:2.946034N, 101.874857E
DEBUG:root:2.946043N, 101.874852E
DEBUG:root:2.946067N, 101.87485E
DEBUG:root:2.946078N, 101.874841E
DEBUG:root:2.946085N, 101.874824E
DEBUG:root:2.946092N, 101.874809E
DEBUG:root:2.9461N, 101.874797E
DEBUG:root:2.946109N, 101.874784E
DEBUG:root:2.946122N, 101.874779E
DEBUG:root:2.946146N, 101.874768E
DEBUG:root:2.946152N, 101.874758E
DEBUG:root:2.946153N, 101.874745E
DEBUG:root:2.946151N, 101.874732E
DEBUG:root:2.946151N, 101.874721E
DEBUG:root:2.946154N, 101.874713E
DEBUG:root:2.946157N, 101.874707E
DEBUG:root:2.946171N, 101.874701E
DEBUG:root:2.946184N, 101.874702E
DEBUG:root:2.946201N, 101.874714E
DEBUG:root:2.946222N, 101.874731E
DEBUG:root:2.946241N, 101.87474E
DEBUG:root:2.946258N, 101.874745E
DEBUG:root:2.946274N, 101.874751E
DEBUG:root:2.946301N, 101.87477E
DEBUG:root:2.946317N, 101.874779E
DEBUG:root:2.946334N, 101.874783E
DEBUG:root:2.946353N, 101.87478E
DEBUG:root:2.946372N, 101.874775E
DEBUG:root:2.946388N, 101.874773E
DEBUG:root:2.946404N, 101.874775E
DEBUG:root:2.946426N, 101.874791E
DEBUG:root:2.946434N, 101.874802E
DEBUG:root:2.946438N, 101.874814E
DEBUG:root:2.946442N, 101.87483E
DEBUG:root:2.946445N, 101.874848E
DEBUG:root:2.946447N, 101.874864E
DEBUG:root:2.94645N, 101.874874E
DEBUG:root:2.946463N, 101.8749E
DEBUG:root:2.946469N, 101.874905E
DEBUG:root:2.946473N, 101.874909E
DEBUG:root:2.946478N, 101.87491E
DEBUG:root:2.946489N, 101.874916E
DEBUG:root:2.946498N, 101.874925E
DEBUG:root:2.946517N, 101.874936E
DEBUG:root:2.946563N, 101.874958E
DEBUG:root:2.946583N, 101.874968E
DEBUG:root:2.946594N, 101.874978E
DEBUG:root:2.9466N, 101.87499E
DEBUG:root:2.946605N, 101.875003E
DEBUG:root:2.946604N, 101.875011E
DEBUG:root:2.946597N, 101.875023E
DEBUG:root:2.946557N, 101.875051E
DEBUG:root:2.946527N, 101.875061E
DEBUG:root:2.946497N, 101.875069E
DEBUG:root:2.946469N, 101.875076E
DEBUG:root:2.946444N, 101.875084E
DEBUG:root:2.94642N, 101.875091E
DEBUG:root:2.946398N, 101.875097E
DEBUG:root:2.946361N, 101.87511E
DEBUG:root:2.946345N, 101.875116E
DEBUG:root:2.94633N, 101.875121E
DEBUG:root:2.946313N, 101.875126E
DEBUG:root:2.946297N, 101.875131E
DEBUG:root:2.946282N, 101.875135E
DEBUG:root:2.946267N, 101.87514E
DEBUG:root:2.946241N, 101.87515E
DEBUG:root:2.94623N, 101.875155E
DEBUG:root:2.946219N, 101.87516E
DEBUG:root:2.946206N, 101.875166E
DEBUG:root:2.946194N, 101.875171E
DEBUG:root:2.946184N, 101.875175E
DEBUG:root:2.946178N, 101.875174E
DEBUG:root:2.94619N, 101.875163E
DEBUG:root:2.946201N, 101.875162E
DEBUG:root:2.946217N, 101.875163E
DEBUG:root:2.946233N, 101.875163E
DEBUG:root:2.946249N, 101.875162E
DEBUG:root:2.946268N, 101.875159E
DEBUG:root:2.946286N, 101.875155E
DEBUG:root:2.946311N, 101.875148E
DEBUG:root:2.946328N, 101.875143E
DEBUG:root:2.946342N, 101.875139E
DEBUG:root:2.946352N, 101.875135E
DEBUG:root:2.946364N, 101.875131E
DEBUG:root:2.946378N, 101.875127E
DEBUG:root:2.946392N, 101.875122E
DEBUG:root:2.946417N, 101.875111E
DEBUG:root:2.94643N, 101.875108E
DEBUG:root:2.946442N, 101.875106E
DEBUG:root:2.946454N, 101.875102E
DEBUG:root:2.946468N, 101.875097E
DEBUG:root:2.94648N, 101.875093E
