latitude,longitude
2.946157,101.874707
2.946171,101.874701
2.946184,101.874702
2.946201,101.874714
2.946222,101.874731
2.946241,101.87474
2.946258,101.874745
2.946274,101.874751
2.946301,101.87477
2.946317,101.874779
2.946334,101.874783
2.946353,101.87478
2.946372,101.874775
2.946388,101.874773
2.946404,101.874775
2.946426,101.874791
2.946434,101.874802
2.946438,101.874814
2.946442,101.87483
2.946445,101.874848
2.946447,101.874864
2.94645,101.874874
2.946463,101.8749
2.946469,101.874905
2.946473,101.874909
2.946478,101.87491
2.946489,101.874916
2.946498,101.874925
2.946517,101.874936
2.946563,101.874958
2.946583,101.874968
2.946594,101.874978
2.9466,101.87499
2.946605,101.875003
2.946604,101.875011
2.946597,101.875023
2.946557,101.875051
2.946527,101.875061
2.946497,101.875069
2.946469,101.875076
2.946444,101.875084
2.94642,101.875091
2.946398,101.875097
2.946361,101.87511
2.946345,101.875116
2.94633,101.875121
2.946313,101.875126
2.946297,101.875131
2.946282,101.875135
2.946267,101.87514
2.946241,101.87515
2.94623,101.875155
2.946219,101.87516
2.946206,101.875166
2.946194,101.875171
2.946184,101.875175
2.946178,101.875174
2.94619,101.875163
2.946201,101.875162
2.946217,101.875163
2.946233,101.875163
2.946249,101.875162
2.946268,101.875159
2.946286,101.875155
2.946311,101.875148
2.946328,101.875143
2.946342,101.875139
2.946352,101.875135
2.946364,101.875131
2.946378,101.875127
2.946392,101.875122
2.946417,101.875111
2.94643,101.875108
2.946442,101.875106
2.946454,101.875102
2.946468,101.875097
2.94648,101.875093
